station;to station;azimuth;distance m
Summit;Claremont;89.740047222222200;54228.690
Summit;Honey Creek;121.635716666667000;34569.360
Merom College;Summit;332.267600000000000;36217.900
Merom College;Honey Creek;42.050541666666700;18837.480
Honey Creek;Claremont;53.242433333333300;30863.940
Honey Creek;Hunt City;120.806958333333000;30783.080
Belle Air;Oblong;1.478030555555560;19797.000
Belle Air;Hunt City;46.013533333333300;17638.840
Oblong;Claremont;21.300286111111100;28649.610
Oblong;Hunt City;121.755963888889000;14325.650
Claremont;Denver;94.677644444444400;18961.620
Claremont;Newton;141.591225000000000;23630.130
Hunt City;Claremont;356.945100000000000;34278.080
Hunt City;Newton;39.288194444444400;20305.890
Olney East Base;Olney West Base;88.543033333333300;6590.780
Olney East Base;Buffalo Mound;149.557427777778000;5154.370
Olney Check Base;Olney West Base;135.298644444444000;8594.680
Olney Check Base;Olney East Base;184.944533333333000;6300.430
Buffalo Mound;Claremont;341.454763888889000;16899.250
Buffalo Mound;Olney West Base;40.757247222222200;6089.470
Olney Middle Base;Olney West Base;88.520030555555500;3292.300
Olney Middle Base;Buffalo Mound;188.589483333333000;4579.340
Olney West Base;Claremont;320.634627777778000;14751.160
Olney West Base;Denver;44.008625000000000;13737.220
Newton;Denver;13.851544444444400;17486.490
Newton;Lucas;93.588508333333300;23267.070
Onion Hill;Claremont;292.385891666667000;16880.300
Onion Hill;Denver;33.799425000000000;5920.070
Denver;Holtzhausen;94.528675000000000;41985.580
Denver;Lucas;134.051011111111000;26498.200
Island Creek;Hunt City;278.289141666667000;27930.460
Island Creek;Newton;323.139722222222000;24731.830
Lucas;Holtzhausen;56.342227777777800;27359.860
Lucas;Mound;116.201705555556000;33002.760
Holtzhausen;Hartlin;63.282791666666700;22830.400
Holtzhausen;Sturgess;115.186477777778000;38967.960
Mound;Holtzhausen;346.833827777778000;30511.560
Mound;Sturgess;65.087669444444400;31234.140
Hartlin;Bording;73.705144444444400;37391.210
Hartlin;Sturgess;150.871977777778000;30690.690
Sturgess;Bording;29.213425000000000;42781.240
Sturgess;Holle;77.548625000000000;27540.840
Bording;Geoffrey;53.418269444444400;11741.590
Bording;Parkinson;111.054316666667000;34651.140
Holle;Bording;348.965400000000000;31972.120
Holle;Parkinson;54.141205555555600;32361.610
Geoffrey;Turkey Hill;78.519650000000000;40590.480
Geoffrey;Berger IL;104.325216666667000;27847.720
Parkinson;Geoffrey;310.093447222222000;30049.720
Parkinson;Berger IL;17.747686111111100;13167.040
Berger IL;Turkey Hill;40.333200000000000;19693.190
Berger IL;Clarks Mound;82.696386111111100;27391.010
Turkey Hill;Dreyer;96.493444444444500;25810.270
Turkey Hill;Clarks Mound;128.548447222222000;18464.860
Sugar Loaf Mound;Berger IL;294.721888888889000;23902.100
Sugar Loaf Mound;Clarks Mound;21.899605555555600;14606.100
American Bottom Upper Base;Clarks Mound;26.743247222222200;10509.110
American Bottom Upper Base;Insane Asylum;73.853002777777800;23849.450
American Bottom Lower Base;Insane Asylum;89.894647222222200;19875.510
American Bottom Lower Base;American Bottom Upper Base;204.648227777778000;7266.880
Clarks Mound;Dreyer;52.425561111111100;14116.490
Clarks Mound;Insane Asylum;98.575200000000000;18386.760
Dreyer;Kleinschmidt;92.203255555555600;11041.210
Dreyer;Insane Asylum;148.281075000000000;13331.100
Insane Asylum;Kleinschmidt;20.187222222222200;11633.630
Insane Asylum;Morgan;126.408961111111000;12831.600
Minoma;Clarks Mound;306.147427777778000;22542.100
Minoma;Insane Asylum;359.916880555556000;10596.590
Kleinschmidt;Patterson;76.064700000000000;18756.110
Kleinschmidt;Morgan;161.164663888889000;19580.450
Morgan;Patterson;27.227569444444400;25931.540
Morgan;Tavern Rock;76.561950000000000;31800.880
Patterson;Lynch;70.171002777777800;18572.290
Patterson;Tavern Rock;129.327572222222000;24677.670
Kessler;Morgan;244.760736111111000;16429.200
Kessler;Patterson;349.293275000000000;16359.660
Lynch;Peters;102.139319444444000;29400.720
Lynch;Dieckhaus;137.458791666667000;27184.750
Tavern Rock;Lynch;355.645972222222000;21999.090
Tavern Rock;Dieckhaus;83.481255555555600;16822.910
Halleck;Tavern Rock;224.475044444444000;21256.580
Halleck;Lynch;292.167700000000000;17928.420
Dieckhaus;Peters;36.680491666666700;17295.300
Dieckhaus;Berger MO;92.535444444444400;30227.620
Peters;Jacobs;81.472866666666700;18242.790
Peters;Berger MO;127.359652777778000;25019.100
Enoch Knob;Dieckhaus;266.471266666667000;16732.050
Enoch Knob;Peters;333.553355555556000;14365.500
Jacobs;Winter;100.168488888889000;14603.170
Jacobs;Berger MO;173.981930555556000;17981.880
Berger MO;Winter;39.200847222222200;19753.390
Berger MO;Gasconade;87.211236111111100;15408.820
Winter;Geyer;84.554191666666700;14272.820
Winter;Turnpike Bluff;138.959244444444000;19134.050
Gasconade;Winter;348.602522222222000;14845.020
Gasconade;Turnpike Bluff;89.255922222222200;9635.820
Turnpike Bluff;Geyer;5.859483333333330;15871.740
Turnpike Bluff;Bradford;80.832227777777800;17658.680
Geyer;Pilot Knob;54.707063888888900;21622.070
Geyer;Bradford;129.359255555556000;20454.900
Bradford;Pilot Knob;4.003755555555560;25530.250
Bradford;McDaniel;39.049641666666700;15141.350
Pilot Knob;Kennedy;93.376050000000000;25994.530
Pilot Knob;McDaniel;150.486947222222000;15751.260
McDaniel;Kennedy;56.146033333333300;21889.400
McDaniel;Cedar;125.078375000000000;27322.730
Kennedy;Belshe;96.008580555555600;27192.710
Kennedy;Cedar;171.345294444444000;28208.010
Cedar;Belshe;42.286997222222200;33864.300
Cedar;Moreau;71.441800000000000;25749.520
Medlock;Moreau;31.895838888888900;14390.600
Medlock;Christian;86.707030555555600;18341.510
Belshe;High Point;129.764744444444000;20223.410
Belshe;Moreau;174.330883333333000;16935.130
Moreau;High Point;74.221955555555600;14414.650
Moreau;Christian;136.141527777778000;15469.030
Christian;Hughes;57.228644444444500;39854.170
Christian;Hubbard;100.883450000000000;27972.260
High Point;Hunter (Versailles South Base);67.450580555555600;17980.880
High Point;Christian;191.716777777778000;15399.800
Cole;Christian;273.133111111111000;15724.120
Cole;High Point;321.687175000000000;20319.260
Hunter (Versailles South Base);Hughes;91.497686111111100;13774.330
Hunter (Versailles South Base);Christian;221.806436111111000;29534.370
Versailles North Base;High Point;270.420280555556000;19475.240
Versailles North Base;Hunter (Versailles South Base);337.823555555556000;7643.850
Hubbard;Schnackenberg;55.632025000000000;34666.370
Hubbard;Heard;98.785255555555600;30301.500
